x,y
15.115076,4.8807416
15.266301,3.6584642
15.707052,3.1367562
15.894841,5.697082
14.83223,6.815573
15.305141,4.107536
13.874642,6.392067
15.070056,3.4102123
14.886539,6.7756934
14.9646225,6.6895537
15.922818,4.3705916
15.778077,5.624839
13.987937,6.9974027
16.40803,4.2790794
14.088436,7.109835
15.440327,4.5107145
15.425052,4.782604
15.6127,5.874114
15.294312,4.773344
15.391574,3.9879377
15.821183,5.782571
14.901718,4.8026524
15.136165,3.3466234
15.50172,4.533846
14.873818,4.9400826
15.395929,3.7028267
15.332634,4.5654902
15.510872,3.2449698
14.637636,5.089697
16.806524,3.8620708
14.584833,6.9311748
15.041691,6.561837
14.766539,4.6674213
15.418711,4.7519274
14.118809,5.8826885
16.55506,4.039317
13.451883,5.7622633
16.36117,4.2806263
13.787347,7.001216
16.94614,3.210988
13.916756,6.079166
14.864813,4.7308
16.559406,4.417234
14.303883,7.1082454
15.175603,3.4882746
14.047236,5.819297
16.707176,4.4338675
13.472524,6.6934667
16.956327,3.9141984
13.812493,5.420563
15.419285,3.6068664
13.597736,5.5705075
17.149202,3.1248376
15.71757,5.712427
17.177324,3.5293534
14.295579,7.052556
15.941432,3.7150114
13.59147,5.6379805
17.097322,3.25067
13.512716,5.5944304
16.943491,3.537263
14.101177,5.551539
17.146248,3.4947739
13.671841,6.6903467
15.993426,5.5977764
13.851391,5.40377
15.794575,3.2184129
12.605202,7.15942
16.56853,4.4476047
13.379936,6.2177835
15.20802,3.2311814
15.468621,5.8995986
17.05456,3.5839388
13.28345,6.3125863
17.241394,3.8301194
13.451831,6.1410103
15.648533,5.6343913
15.414035,6.1223645
16.188915,3.8060684
14.657774,6.8561397
15.580078,5.9216957
15.908594,5.075191
15.385485,6.0028963
15.560263,5.4497786
16.458075,4.69086
13.103548,6.4074283
17.123978,3.799034
13.976116,5.8084116
17.17855,3.7728508
13.309016,6.504718
15.729098,5.3084464
13.734269,6.176937
17.307775,3.1091948
13.264702,6.112224
16.484617,4.8244367
13.822261,6.726739
17.072208,3.1358078
15.111745,6.446305
15.879808,3.3732815
15.017318,4.9063387
15.903963,3.4997058
15.106907,6.5211177
16.767818,3.171738
13.663191,6.7761784
16.05353,3.621021
13.838043,7.055436
15.7255,3.0879033
13.571477,6.76282
14.792871,6.8462114
13.196549,6.173808
16.660141,3.0754921
15.167303,6.4741163
17.088646,3.7765756
14.840921,4.168203
17.100594,3.535668
15.668841,6.0939245
15.289759,3.8223827
13.038131,6.4359665
17.330046,3.2721527
13.221636,6.3699565
15.838945,3.2013676
13.487824,6.081827
16.1225,3.029391
12.9085865,6.4837227
15.882836,3.3341334
12.722302,6.6488137
16.094965,5.2784967
13.801784,6.1970916
15.6863575,3.4855988
14.923138,3.6184957
17.016212,3.9744334
14.343221,6.7143393
16.931337,3.4641514
13.742266,5.8104906
15.589219,3.0729659
15.110462,3.233726
17.325098,3.1879952
15.26551,3.220892
16.883184,3.2108912
15.143096,5.0351653
13.917581,5.8644834
15.905699,4.6038647
16.585289,4.503644
16.018915,5.126608
16.444502,3.9390907
13.14234,6.421152
-2.1911726,-0.23753275
-3.2803864,4.7207294
-2.9565227,0.2818554
-2.691614,3.7652392
-2.4442887,3.034656
-2.3469698,-0.08410073
-2.5411484,0.74578726
-2.4278605,2.4069288
-1.5480418,-0.30549943
-2.3040988,2.4011796
-1.644658,0.23302247
-2.3995516,3.7320602
-2.2477624,0.33348188
-2.5006318,3.3382099
-2.0162652,-0.5331736
-2.603429,3.99445
-1.6188534,-0.5244038
-2.5957668,4.226711
-2.8519833,0.87756276
-2.8984485,3.0543184
-2.815415,3.368522
-2.3069718,1.148743
-2.3256023,-0.3000047
-2.2088568,2.4435668
-1.7771993,0.3956613
-2.4067094,2.227349
-2.4026453,3.3124347
-2.9656923,0.39677954
-2.9206898,3.820432
-2.5474179,2.6782572
-1.6349579,-0.018498538
-2.6394188,0.94583184
-3.6784446,4.9375067
-2.8854132,2.74445
-2.4741359,3.6703637
-1.6735703,0.30772635
-2.1933057,2.910613
-1.7137109,-0.48150733
-2.1831021,3.2556677
-1.7003077,-0.5243828
-3.002497,4.4003367
-1.9954306,-0.46412537
-3.0002365,1.9665728
-3.1334293,4.192225
-1.8985456,0.4869323
-1.9472992,-0.5304848
-3.412911,4.27756
-1.9468514,0.49669468
-2.1382248,2.6742835
-2.7491944,0.68883324
-2.779299,2.9905863
-2.139243,-0.3859124
-3.119618,2.8509216
-2.4485087,1.2687867
-2.2819211,2.336657
-1.6588452,-0.46502566
-2.3200164,2.1485496
-1.6847432,-0.16522591
-3.1951938,3.911171
-1.8222362,-0.6042134
-2.5055654,2.5743656
-2.197802,-0.2021033
-3.5174038,4.971948
-2.2606375,0.89555573
-3.3373265,4.7784023
-3.0988684,4.6563773
-2.0620434,0.60969996
-3.1841474,3.6991189
-2.8145275,1.7525104
-2.322725,2.3334734
-2.7205794,2.4953396
-2.4177387,2.4415233
-2.6825361,1.4657509
-3.0195208,4.549643
-2.8782637,0.27514458
-2.7847347,4.317929
-2.1940608,0.4782365
-2.8076396,4.3870697
-3.0224452,0.4672552
-3.2209542,4.103638
-2.9284673,0.73739946
-3.3968978,4.1560464
-2.1859515,0.44296357
-3.532561,4.8545403
-2.1391823,0.5878663
-2.9083962,3.1336663
-2.7760918,0.7647312
-3.5823464,4.8705993
-2.6137102,1.9876428
-3.5226483,4.7654614
-2.534911,0.75457335
-2.9243484,4.3254666
-2.3204598,1.0162339
-3.57,3.957115
-2.8298855,2.3116477
-2.5468378,1.7144554
-3.0334263,0.34739116
-3.6018226,4.3871746
-2.8552752,1.9690942
-3.725524,5.0086837
-2.6040645,2.1879141
-3.2504041,3.8316145
-2.1934319,3.4007277
-1.6835619,0.17395782
-3.3714726,4.1105213
-1.6494913,-0.17204246
-2.2144618,3.2720413
-2.9528546,2.3172755
-3.061753,4.611702
-2.1438177,0.7883047
-3.5174954,4.765926
-2.238047,-0.13998601
-3.6444798,4.9068184
-2.7058036,4.4101176
-2.656196,0.7466385
-2.6576474,1.0782357
-2.9409359,4.062905
-2.2051635,1.6770768
-2.2625792,3.472551
11.538459,7.7943535
9.265871,8.297158
9.497206,8.008196
11.779941,7.5773644
9.216134,8.201224
11.867929,7.4553914
11.857723,7.508994
10.011251,8.272404
12.629159,7.1099067
9.223565,8.1427
11.511194,7.7427416
9.239842,8.155273
11.515655,7.9160857
9.640834,8.722981
11.605769,8.02982
9.122103,8.660111
9.384042,7.9573402
9.891368,7.988965
11.674435,7.660011
9.676757,8.759045
14.941929,3.3801575
11.214267,7.904054
14.858063,3.0740209
9.395933,8.209567
11.586519,7.8906875
9.40597,8.626352
9.7789345,8.023751
9.449857,8.383283
11.510714,7.776014
9.037182,9.013737
14.982196,3.1064515
8.907946,9.040949
14.895696,3.0403945
9.437217,8.799737
10.047613,8.119365
11.239039,7.98846
11.497568,7.50808
9.017341,8.929738
11.607323,8.290763
9.04913,8.983318
8.936306,8.874548
11.660351,7.890597
9.597365,7.9613886
11.606525,8.184234
10.233272,8.142908
9.376074,8.940027
10.359967,7.9682417
8.882751,9.040511
9.97343,7.957586
10.572024,8.07487
11.477087,8.24306
9.472414,8.721595
11.578868,7.989643
9.13994,8.695845
14.898819,3.1871645
9.708002,8.027084
11.707586,8.384487
8.996443,8.638713
9.616397,8.586557
12.118129,7.3273463
9.162663,8.771569
11.666332,8.091333
11.614138,8.100076
8.979617,8.975307
12.60709,6.7113414
10.26166,8.093516
9.07977,9.021015
9.797487,8.354705
