	id	server	secret	title	tags	views	description	date_taken	latitude	longitude	url_s	owner_name	owner	media
0	54289861886	65535	f3da063106			1		2024-01-13 17:02:45	51.511208	-0.119756	https://live.staticflickr.com/65535/54289861886_f3da063106_m.jpg	Ben Sutherland	60179301@N00	photo
1	54288972792	65535	97fb1e90fe			1		2024-01-13 15:16:49	51.509880	-0.117000	https://live.staticflickr.com/65535/54288972792_97fb1e90fe_m.jpg	Ben Sutherland	60179301@N00	photo
2	54288471461	65535	eb9425fe5e	Theatre Royal, Drury Lane	january 2025 london drury lane theatre royal	75		2025-01-25 14:17:17	51.512836	-0.120473	https://live.staticflickr.com/65535/54288471461_eb9425fe5e_m.jpg	looper23	98587546@N00	photo
3	54288471376	65535	2f177f5364	Theatre Royal, Drury Lane	january 2025 london drury lane theatre royal	76		2025-01-25 14:17:22	51.512833	-0.120456	https://live.staticflickr.com/65535/54288471376_2f177f5364_m.jpg	looper23	98587546@N00	photo
4	54287588692	65535	8b28fddd99	Theatre Royal, Drury Lane	january 2025 london drury lane theatre royal	73		2025-01-25 14:17:20	51.512836	-0.120473	https://live.staticflickr.com/65535/54287588692_8b28fddd99_m.jpg	looper23	98587546@N00	photo
5	54288709504	65535	2016d45a08	Theatre Royal, Drury Lane	january 2025 london drury lane theatre royal	56		2025-01-25 14:16:35	51.512827	-0.120445	https://live.staticflickr.com/65535/54288709504_2016d45a08_m.jpg	looper23	98587546@N00	photo
6	54286814839	65535	24060b7317	Nell of Old Drury pub	january 2025 london pub nell drury lane	100		2025-01-25 14:09:32	51.512741	-0.120625	https://live.staticflickr.com/65535/54286814839_24060b7317_m.jpg	looper23	98587546@N00	photo
7	54286575216	65535	7c74e7243e	Sigourney Weaver in the Tempest	january 2025 london drury lane theatre tempest shakespeare	100		2025-01-25 13:02:21	51.512561	-0.120050	https://live.staticflickr.com/65535/54286575216_7c74e7243e_m.jpg	looper23	98587546@N00	photo
8	54284962470	65535	821a2d56db	The World Turned Upside Down (2019)	globe wereldbol lse londonschoolofeconomics bricks bakstenen matoni briques sculpture escultura turnerprizewinner markwallinger royaumeuni verenigdkoninkrijk unitedkingdom grootbrittanië grandebretagne greatbritain england angleterre engeland londen london londres europe europa orb art kunst controverse controversy	1599	Work of Art by Mark Wallinger at Saw Swee Hock Center on Sheffield Street in London, Great-Britain.	2025-01-13 13:27:13	51.514630	-0.117568	https://live.staticflickr.com/65535/54284962470_821a2d56db_m.jpg	just.Luc	9619972@N08	photo
9	54285450403	65535	6b49896cee	UK - London - Covent Garden - Theatre Royal Drury Lane - Rotunda	uk england london coventgarden theatre theatreroyal rotunda	18	January 2025. Visit to theatre.	2025-01-23 14:08:23	51.513066	-0.120303	https://live.staticflickr.com/65535/54285450403_6b49896cee_m.jpg	JulesFoto	55578087@N08	photo
10	54285448303	65535	9d95fc25c4	UK - London - Covent Garden - Theatre Royal Drury Lane - Staircase	uk england london coventgarden theatre theatreroyal staircase	20	January 2025. Visit to theatre.	2025-01-23 14:08:09	51.513066	-0.120303	https://live.staticflickr.com/65535/54285448303_9d95fc25c4_m.jpg	JulesFoto	55578087@N08	photo
11	54281542431	65535	7a2516f577	London.		11		2025-01-14 18:59:12	51.511750	-0.117539	https://live.staticflickr.com/65535/54281542431_7a2516f577_m.jpg	ronindunedin	20724457@N00	photo
12	54281542416	65535	564ba2e622	London.		13		2025-01-14 18:52:53	51.511591	-0.117531	https://live.staticflickr.com/65535/54281542416_564ba2e622_m.jpg	ronindunedin	20724457@N00	photo
13	54281971775	65535	a9d29d4f08	London.		11		2025-01-14 19:04:24	51.511680	-0.117581	https://live.staticflickr.com/65535/54281971775_a9d29d4f08_m.jpg	ronindunedin	20724457@N00	photo
14	54281791983	65535	77ac2f5251	London.		9		2025-01-14 19:17:57	51.511866	-0.117645	https://live.staticflickr.com/65535/54281791983_77ac2f5251_m.jpg	ronindunedin	20724457@N00	photo
15	54279054076	65535	e498079b54	A face on the corner	architecture building oldbuilding london	216		2024-05-26 12:25:49	51.513443	-0.117287	https://live.staticflickr.com/65535/54279054076_e498079b54_m.jpg	big_jeff_leo	135924873@N02	photo
16	54277889668	65535	2c2e241b9d	THOMAS DT71DJT STRAND 180125		124		2025-01-18 16:49:51	51.513429	-0.117512	https://live.staticflickr.com/65535/54277889668_2c2e241b9d_m.jpg	David Beardmore	45726467@N02	photo
17	54277889673	65535	ddfae82e8e	HORSEMAN YX68UDH STRAND 180125		122		2025-01-18 16:46:58	51.513429	-0.117512	https://live.staticflickr.com/65535/54277889673_ddfae82e8e_m.jpg	David Beardmore	45726467@N02	photo
18	54277638346	65535	d5c6dbf0fd	WELSH'S W10HOL STRAND 180125		126		2025-01-18 16:45:21	51.513429	-0.117512	https://live.staticflickr.com/65535/54277638346_d5c6dbf0fd_m.jpg	David Beardmore	45726467@N02	photo
19	54278068590	65535	aa098c140b	TRANSPORT UK LT697 LTZ1697 STRAND 180125		201		2025-01-18 16:36:38	51.513429	-0.117512	https://live.staticflickr.com/65535/54278068590_aa098c140b_m.jpg	David Beardmore	45726467@N02	photo
20	54277884254	65535	d56fc807ec	FUSSELLS YT21EBA STRAND 180125		139		2025-01-18 16:44:27	51.513429	-0.117512	https://live.staticflickr.com/65535/54277884254_d56fc807ec_m.jpg	David Beardmore	45726467@N02	photo
21	54277637816	65535	c81b51f9ea	TRANSPORT UK LT697 LTZ1697 STRAND 180125		198		2025-01-18 16:36:35	51.513429	-0.117512	https://live.staticflickr.com/65535/54277637816_c81b51f9ea_m.jpg	David Beardmore	45726467@N02	photo
22	54278068070	65535	a026034f2d	LONDON GENERAL EH54 YX16OCL STRAND 180125		195		2025-01-18 16:33:45	51.513429	-0.117512	https://live.staticflickr.com/65535/54278068070_a026034f2d_m.jpg	David Beardmore	45726467@N02	photo
23	54277888723	65535	ac51c844e0	ANDERSON RX74OWU STRAND 180125		228		2025-01-18 16:30:53	51.513429	-0.117512	https://live.staticflickr.com/65535/54277888723_ac51c844e0_m.jpg	David Beardmore	45726467@N02	photo
24	54277888648	65535	2361652dfd	BARNES YT17EZM STRAND 180125		231		2025-01-18 16:30:42	51.513429	-0.117512	https://live.staticflickr.com/65535/54277888648_2361652dfd_m.jpg	David Beardmore	45726467@N02	photo
25	54277883199	65535	802d408693	BELLA ROAD SERVICES Y777BRS STRAND 180125		366		2025-01-18 16:29:33	51.513429	-0.117512	https://live.staticflickr.com/65535/54277883199_802d408693_m.jpg	David Beardmore	45726467@N02	photo
26	54277888108	65535	0d64a2e3ab	PULHAMS UK73PUL STRAND 180125		561		2025-01-18 16:29:05	51.513429	-0.117512	https://live.staticflickr.com/65535/54277888108_0d64a2e3ab_m.jpg	David Beardmore	45726467@N02	photo
27	54277636936	65535	80566bc237	DJ BF24ASV STRAND 180125		549		2025-01-18 16:27:04	51.513429	-0.117512	https://live.staticflickr.com/65535/54277636936_80566bc237_m.jpg	David Beardmore	45726467@N02	photo
28	54273047640	65535	108b6075f1	Coming soon: Lives Less Ordinary. 25th January 2025 – 20th April 2025	ilona architecture building stairs door windows	610	"This is an entrance to Two Temple Place. Two Temple Place is one of London’s hidden architectural gems. Completed in 1895, this stunning neo-Gothic mansion was built for William Waldorf Astor as his London Estate Office. It hosts exhibitions and is available for exclusive hire. The building is owned by the charity The Bulldog Trust.  Their 2025 exhibition explores the overlooked richness and diversity of working-class life and creative expression from the 1950s to now.  From  <a href=""https://twotempleplace.org/exhibitions/lives-less-ordinary/"" rel=""noreferrer nofollow"">twotempleplace.org/exhibitions/lives-less-ordinary/</a>:  Challenging long-standing inequities and misrepresentation, this exhibition will present compelling assertions of pride, tenderness, resilience, humour and hopefulness, and moments of play, joy and rest. Looking beyond the often reductive narratives of crisis and struggle that traditionally characterise representation of working-class people and communities in British arts institutions, Lives Less Ordinary champions a gaze from within, from artists from working-class backgrounds who have used their creativity to reflect wide-ranging experiences and identities, depicting and defining their culture and communities on their own terms.  Lives Less Ordinary will bring together ceramics, film, painting, photography and sculpture from wide-ranging public collections, archives, and contemporary artists across the UK, to explore a nuanced and authentic reflection of working-class experience, within an architectural setting that both manifests and interrogates wealth and privilege.  The exhibition will be accompanied by a wide-ranging programme of cultural events for adults and children including talks, lectures, demonstrations, workshops and Wednesday Late openings until 9pm, as well as the acclaimed Two Temple Place programme for state sector primary schools.  Happy Every Day is Stairs Day!"	2025-01-18 07:52:10	51.511522	-0.112278	https://live.staticflickr.com/65535/54273047640_108b6075f1_m.jpg	.ilona.	190550837@N04	photo
29	54271075802	65535	51cd442e48			8		2022-10-10 15:33:38	51.511708	-0.121664	https://live.staticflickr.com/65535/54271075802_51cd442e48_m.jpg	nelsonluke	202122970@N03	photo
30	54270928912	65535	914b65e11b	OXO and the South Bank	nightshot southbank bridge 4star water river 2024 lights night london iphone reflections urban england unitedkingdom	449	London, England - 6th December, 2024	2024-12-06 20:16:04	51.509330	-0.113862	https://live.staticflickr.com/65535/54270928912_914b65e11b_m.jpg	Future-Echoes	48779226@N00	photo
31	54269161112	65535	969aec821f	WSH62993 LK60HPJ	london bus buses england uk sight seeing sightseeing wsh62993 wsh 62993 wright tower transit hydrogen rv1 rv 1 gateway	590	Novello Theatre, London May 28th 2017 © Copyright PD3	2017-05-28 11:30:12	51.512223	-0.119351	https://live.staticflickr.com/65535/54269161112_969aec821f_m.jpg	PD3.	74313678@N00	photo
32	54270342130	65535	802c5cb30f	The India Club	nikondf manualfocuslens zoomnikkor2850mmf35ais indiaclub london	46	"The historic <a href=""https://en.wikipedia.org/wiki/India_Club,_London"" rel=""noreferrer nofollow"">India Club</a>"	2014-11-12 20:04:28	51.511573	-0.118499	https://live.staticflickr.com/65535/54270342130_802c5cb30f_m.jpg	alias archie	44116118@N00	photo
33	54267813921	65535	fb0d20b9e6			17	Pub on the Strand	2025-01-13 12:29:35	51.511452	-0.119325	https://live.staticflickr.com/65535/54267813921_fb0d20b9e6_m.jpg	dvdbramhall	35271748@N00	photo
